2026-08-18 09:57:07: =================================
2026-08-18 09:57:07: 🚀 Server Started Successfully
2026-08-18 09:57:07: 🌐 http://localhost:5000
2026-08-18 09:57:07: =================================
2026-08-18 09:57:07: ✅ MySQL Database Connected Successfully
2026-08-18 09:58:24: [2026-08-18T06:58:24.320Z] GET /api/profile/me 304 - 13ms
2026-08-18 09:58:25: [2026-08-18T06:58:25.344Z] GET /api/profile/me 304 - 3ms
2026-08-18 09:58:26: [2026-08-18T06:58:26.299Z] GET /api/profile/me 304 - 2ms
2026-08-18 09:58:35: [2026-08-18T06:58:35.332Z] PUT /api/profile/me 200 - 7ms
2026-08-18 09:59:06: [2026-08-18T06:59:05.759Z] POST /api/auth/login 401 - 390ms
2026-08-18 10:00:43: [2026-08-18T07:00:42.910Z] POST /api/auth/login 200 - 448ms
2026-08-18 10:00:43: [2026-08-18T07:00:43.405Z] GET /api/students 200 - 11ms
2026-08-18 10:00:43: [2026-08-18T07:00:43.407Z] GET /api/departments 304 - 16ms
2026-08-18 10:00:43: [2026-08-18T07:00:43.410Z] GET /api/courses 304 - 17ms
2026-08-18 10:01:08: [2026-08-18T07:01:08.869Z] GET /api/departments 304 - 3ms
2026-08-18 10:01:08: [2026-08-18T07:01:08.901Z] GET /api/students 304 - 3ms
2026-08-18 10:01:09: [2026-08-18T07:01:09.250Z] GET /api/departments 304 - 2ms
2026-08-18 10:01:14: [2026-08-18T07:01:14.890Z] GET /api/departments 304 - 2ms
2026-08-18 10:01:14: [2026-08-18T07:01:14.911Z] GET /api/courses 304 - 4ms
2026-08-18 11:12:37: [2026-08-18T08:12:37.073Z] POST /api/auth/login 401 - 4ms
2026-08-18 11:12:46: [2026-08-18T08:12:46.238Z] POST /api/auth/login 401 - 4ms
2026-08-18 11:12:51: [2026-08-18T08:12:51.586Z] POST /api/auth/login 401 - 2ms
2026-08-18 11:13:08: [2026-08-18T08:13:07.703Z] POST /api/auth/login 200 - 627ms
2026-08-18 11:13:08: [2026-08-18T08:13:08.451Z] GET /api/profile/me 200 - 9ms
2026-08-18 11:14:41: [2026-08-18T08:14:41.436Z] PUT /api/profile/me 200 - 5ms
